"orderid","channel","transid","accountid","productid","money","currency","status","orderdetail","ordermd5","mtime","ctime","openid","fopenid","totaljewel","platform","openid"
"9-45-100696446-1559400157-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-0","9","20190601144238-5cf28ede24432","100696446","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":756}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 22:42:51","2019-06-01 22:42:51","","","0","0","2311683725511828"
"9-48-100700393-1559349882-com.pg2.nikkisea.pack99q-lbnikkien.mto.zing.vn-9790-1","9","20190601004447-5cf1ca7fce76d","100700393","com.pg2.nikkisea.pack99q","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 08:45:30","2019-06-01 08:45:30","","","0","1","2397845566911881"
"9-49-100110451-1559377257-com.pg2.nikkisea.pack99f-lbnikkien.mto.zing.vn-9790-1","9","20190601082058-5cf2356ab0fcf","100110451","com.pg2.nikkisea.pack99f","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 16:21:44","2019-06-01 16:21:44","","","0","1","1924588507760597"
"9-49-100720143-1559398235-com.pg2.nikkisea.pack599g-lbnikkien.mto.zing.vn-9790-1","9","20190601141038-5cf2875e1799b","100720143","com.pg2.nikkisea.pack599g","101081","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 22:10:53","2019-06-01 22:10:53","","","0","1","101371896948137652626"
"9-52-100699968-1559363742-com.pg2.nikkisea.packdiscount-lbnikkien.mto.zing.vn-9790-1","9","20190601043543-5cf2009f7ba96","100699968","com.pg2.nikkisea.packdiscount","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 12:36:09","2019-06-01 12:36:09","","","0","1","115155821851520115108"
"9-53-100232919-1559358610-com.pg2.nikkisea.pack99w-lbnikkien.mto.zing.vn-9790-1","9","20190601031014-5cf1ec96269d1","100232919","com.pg2.nikkisea.pack99w","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 11:10:36","2019-06-01 11:10:36","","","0","1","2421653617972935"
"9-53-100232919-1559393644-com.pg2.nikkisea.pack99d-lbnikkien.mto.zing.vn-9790-1","9","20190601125405-5cf2756d1ec61","100232919","com.pg2.nikkisea.pack99d","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 20:54:14","2019-06-01 20:54:14","","","0","1","2421653617972935"
"9-53-100349093-1559381992-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-1","9","20190601093954-5cf247ea08efd","100349093","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":756}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 17:40:07","2019-06-01 17:40:07","","","0","1","118358311788136929161"
"9-53-100349093-1559382299-com.pg2.nikkisea.pack299v-lbnikkien.mto.zing.vn-9790-1","9","20190601094500-5cf2491c5fe91","100349093","com.pg2.nikkisea.pack299v","50456","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 17:45:12","2019-06-01 17:45:12","","","0","1","118358311788136929161"
"9-53-100349093-1559382476-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-1","9","20190601094756-5cf249cca9d35","100349093","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":378}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 17:48:08","2019-06-01 17:48:08","","","0","1","118358311788136929161"
"9-53-100349093-1559382528-com.pg2.nikkisea.diamond188-lbnikkien.mto.zing.vn-9790-1","9","20190601094849-5cf24a01816a6","100349093","com.pg2.nikkisea.diamond188","50456","usd","0","[[{"id":0,"type":4,"num":376},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 17:48:59","2019-06-01 17:48:59","","","0","1","118358311788136929161"
"9-53-100349093-1559382545-com.pg2.nikkisea.diamond120-lbnikkien.mto.zing.vn-9790-1","9","20190601094905-5cf24a11e7465","100349093","com.pg2.nikkisea.diamond120","33581","usd","0","[[{"id":0,"type":4,"num":240},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 17:49:14","2019-06-01 17:49:14","","","0","1","118358311788136929161"
"9-53-100349093-1559382698-com.pg2.nikkisea.pack299v-lbnikkien.mto.zing.vn-9790-1","9","20190601095139-5cf24aab864b0","100349093","com.pg2.nikkisea.pack299v","50456","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 17:51:49","2019-06-01 17:51:49","","","0","1","118358311788136929161"
"9-53-100705964-1559363421-com.pg2.nikkisea.pack299h-lbnikkien.mto.zing.vn-9790-1","9","20190601043026-5cf1ff6260217","100705964","com.pg2.nikkisea.pack299h","50456","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 12:30:49","2019-06-01 12:30:49","","","0","1","108613181454995168673"
"9-53-100707728-1559361299-com.pg2.nikkisea.pack99h-lbnikkien.mto.zing.vn-9790-0","9","20190601035500-5cf1f71444b4b","100707728","com.pg2.nikkisea.pack99h","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 11:55:14","2019-06-01 11:55:14","","","0","0","104458580692867156369"
"9-53-100707728-1559393792-com.pg2.nikkisea.pack99pp-lbnikkien.mto.zing.vn-9790-0","9","20190601125633-5cf2760107d55","100707728","com.pg2.nikkisea.pack99pp","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 20:56:45","2019-06-01 20:56:45","","","0","0","104458580692867156369"
"9-54-100136061-1559335182-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-0","9","20190531203942-5cf1910e933d3","100136061","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":378}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 04:39:53","2019-06-01 04:39:53","","","0","0","10213407861854000"
"9-56-100668685-1559323571-com.pg2.nikkisea.pack199h-lbnikkien.mto.zing.vn-9790-0","9","20190531172612-5cf163b488477","100668685","com.pg2.nikkisea.pack199h","33581","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 01:27:28","2019-06-01 01:27:28","","","0","0","20180712041638153136899815718"
"9-56-100668685-1559394114-com.pg2.nikkisea.pack299f-lbnikkien.mto.zing.vn-9790-0","9","20190601130156-5cf27744a1533","100668685","com.pg2.nikkisea.pack299f","50456","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 21:02:55","2019-06-01 21:02:55","","","0","0","20180712041638153136899815718"
"9-57-100696450-1559399953-com.pg2.nikkisea.pack599g-lbnikkien.mto.zing.vn-9790-1","9","20190601143913-5cf28e11e2ffc","100696450","com.pg2.nikkisea.pack599g","101081","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 22:39:33","2019-06-01 22:39:33","","","0","1","106506908257879400011"
"9-57-100696450-1559400088-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-1","9","20190601144128-5cf28e98afe8f","100696450","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":756}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 22:41:42","2019-06-01 22:41:42","","","0","1","106506908257879400011"
"9-58-100645558-1559393449-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-1","9","20190601125050-5cf274aa1a0f3","100645558","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":756}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 20:51:05","2019-06-01 20:51:05","","","0","1","112946487675587342415"
"9-58-100697065-1559350109-com.pg2.nikkisea.pack99pp-lbnikkien.mto.zing.vn-9790-1","9","20190601004830-5cf1cb5ea28b7","100697065","com.pg2.nikkisea.pack99pp","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 08:48:50","2019-06-01 08:48:50","","","0","1","106298774120008781206"
"9-58-100697065-1559394768-com.pg2.nikkisea.pack199e-lbnikkien.mto.zing.vn-9790-1","9","20190601131248-5cf279d0c820f","100697065","com.pg2.nikkisea.pack199e","33581","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 21:13:14","2019-06-01 21:13:14","","","0","1","106298774120008781206"
"9-58-100714761-1559354837-com.pg2.nikkisea.pack99e-lbnikkien.mto.zing.vn-9790-0","9","20190601020717-5cf1ddd591d54","100714761","com.pg2.nikkisea.pack99e","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 10:07:36","2019-06-01 10:07:36","","","0","0","100698222527978068925"
"9-58-100714761-1559356841-com.pg2.nikkisea.packstamina-lbnikkien.mto.zing.vn-9790-0","9","20190601024041-5cf1e5a9aa65a","100714761","com.pg2.nikkisea.packstamina","219206","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 10:41:00","2019-06-01 10:41:00","","","0","0","100698222527978068925"
"9-58-100714761-1559382626-com.pg2.nikkisea.diamond120-lbnikkien.mto.zing.vn-9790-0","9","20190601095027-5cf24a631095c","100714761","com.pg2.nikkisea.diamond120","33581","usd","0","[[{"id":0,"type":4,"num":240},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 17:50:47","2019-06-01 17:50:47","","","0","0","100698222527978068925"
"9-58-100714761-1559382648-com.pg2.nikkisea.diamond188-lbnikkien.mto.zing.vn-9790-0","9","20190601095048-5cf24a78f1b38","100714761","com.pg2.nikkisea.diamond188","50456","usd","0","[[{"id":0,"type":4,"num":376},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 17:51:03","2019-06-01 17:51:03","","","0","0","100698222527978068925"
"9-59-100012714-1559362264-com.pg2.nikkisea.pack99q-lbnikkien.mto.zing.vn-9790-1","9","20190601041107-5cf1fadbb209a","100012714","com.pg2.nikkisea.pack99q","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 12:11:23","2019-06-01 12:11:23","","","0","1","1334746829924541"
"9-59-100710135-1559356443-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-1","9","20190601023404-5cf1e41c502d5","100710135","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":756}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 10:34:42","2019-06-01 10:34:42","","","0","1","2459228354148910"
"9-60-100692818-1559393629-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-1","9","20190601125350-5cf2755eafcbd","100692818","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":756}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 20:54:11","2019-06-01 20:54:11","","","0","1","106047153444575474914"
"9-61-100648260-1559364757-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-1","9","20190601045238-5cf20496005a3","100648260","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":756}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 12:54:34","2019-06-01 12:54:34","","","0","1","1913463308673178"
"9-62-100104106-1559378182-com.pg2.nikkisea.diamond120-lbnikkien.mto.zing.vn-9790-1","9","20190601083624-5cf239083bf31","100104106","com.pg2.nikkisea.diamond120","33581","usd","0","[[{"id":0,"type":4,"num":240},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 16:36:46","2019-06-01 16:36:46","","","0","1","373951572987523"
"9-63-100504855-1559398471-com.pg2.nikkisea.pack99f-lbnikkien.mto.zing.vn-9790-1","9","20190601141433-5cf288499dbc3","100504855","com.pg2.nikkisea.pack99f","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 22:14:47","2019-06-01 22:14:47","","","0","1","115494969742432651163"
"9-69-100102366-1559381968-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-1","9","20190601093929-5cf247d11b5be","100102366","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":378}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 17:39:40","2019-06-01 17:39:40","","","0","1","111860199909108147459"
"9-69-100291314-1559384178-com.pg2.nikkisea.pack99w-lbnikkien.mto.zing.vn-9790-1","9","20190601101618-5cf25072ddb5a","100291314","com.pg2.nikkisea.pack99w","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 18:16:28","2019-06-01 18:16:28","","","0","1","104334813373010943565"
"9-69-100631388-1559369593-com.pg2.nikkisea.pack599h-lbnikkien.mto.zing.vn-9790-1","9","20190601061314-5cf2177a769bd","100631388","com.pg2.nikkisea.pack599h","101081","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 14:13:47","2019-06-01 14:13:47","","","0","1","2230336636993036"
"9-7-100729231-1559376374-com.pg2.nikkisea.pack199d-lbnikkien.mto.zing.vn-9790-0","9","20190601080615-5cf231f7430b0","100729231","com.pg2.nikkisea.pack199d","33581","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 16:06:28","2019-06-01 16:06:28","","","0","0","104893335776391336942"
"9-70-100677026-1559358368-com.pg2.nikkisea.pack1499l-lbnikkien.mto.zing.vn-9790-0","9","20190601030608-5cf1eba0e3cdc","100677026","com.pg2.nikkisea.pack1499l","252956","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 11:06:26","2019-06-01 11:06:26","","","0","0","103524929795387523229"
"9-70-100677026-1559359494-com.pg2.nikkisea.pack999t-lbnikkien.mto.zing.vn-9790-0","9","20190601032455-5cf1f007735ee","100677026","com.pg2.nikkisea.pack999t","168581","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 11:25:30","2019-06-01 11:25:30","","","0","0","103524929795387523229"
"9-70-100694014-1559343322-com.pg2.nikkisea.pack99h-lbnikkien.mto.zing.vn-9790-1","9","20190531225523-5cf1b0db5d49d","100694014","com.pg2.nikkisea.pack99h","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 06:55:40","2019-06-01 06:55:40","","","0","1","10155782572031074"
"9-70-100694014-1559365366-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-1","9","20190601050246-5cf206f6e0dfd","100694014","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":378}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 13:02:58","2019-06-01 13:02:58","","","0","1","10155782572031074"
"9-71-100298553-1559384985-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-1","9","20190601102946-5cf2539a7d2cd","100298553","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":756}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 18:30:09","2019-06-01 18:30:09","","","0","1","159196521490371"
"9-71-100383454-1559344815-com.pg2.nikkisea.diamond668-lbnikkien.mto.zing.vn-9790-0","9","20190531232015-5cf1b6afb5254","100383454","com.pg2.nikkisea.diamond668","168581","usd","0","[[{"id":0,"type":4,"num":1336},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 07:20:28","2019-06-01 07:20:28","","","0","0","10156442256459239"
"9-72-100585311-1559400708-com.pg2.nikkisea.diamond668-lbnikkien.mto.zing.vn-9790-0","9","20190601145150-5cf2910641a64","100585311","com.pg2.nikkisea.diamond668","168581","usd","0","[[{"id":0,"type":4,"num":1336},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 22:52:10","2019-06-01 22:52:10","","","0","0","115522396521058441274"
"9-72-100651646-1559397978-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-1","9","20190601140618-5cf2865a5c647","100651646","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":378}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 22:06:29","2019-06-01 22:06:29","","","0","1","112213611131792324072"
"9-73-100582191-1559341972-com.pg2.nikkisea.pack99d-lbnikkien.mto.zing.vn-9790-1","9","20190531223259-5cf1ab9bef42b","100582191","com.pg2.nikkisea.pack99d","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 06:33:19","2019-06-01 06:33:19","","","0","1","2184309491587068"
"9-76-100504156-1559343776-com.pg2.nikkisea.pack599g-lbnikkien.mto.zing.vn-9790-1","9","20190531230301-5cf1b2a5daa5e","100504156","com.pg2.nikkisea.pack599g","101081","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 07:03:34","2019-06-01 07:03:34","","","0","1","20180216070811151876489181224"
"9-78-100227572-1559354298-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-1","9","20190601015819-5cf1dbbb86769","100227572","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":378}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 09:58:36","2019-06-01 09:58:36","","","0","1","10154943627448865"
"9-78-100227572-1559354506-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-1","9","20190601020147-5cf1dc8b39c9a","100227572","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":378}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 10:02:01","2019-06-01 10:02:01","","","0","1","10154943627448865"
"9-78-100227572-1559354683-com.pg2.nikkisea.diamond188-lbnikkien.mto.zing.vn-9790-1","9","20190601020444-5cf1dd3c7009f","100227572","com.pg2.nikkisea.diamond188","50456","usd","0","[[{"id":0,"type":4,"num":188},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 10:04:56","2019-06-01 10:04:56","","","0","1","10154943627448865"
